smile,rt
N=C(N)O,999.0
CCN=C(O)CCC(N)C(=O)O,999.0
Cc1ncc(CO)c(CO)c1O,999.0
CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,999.0
COC(C)C(N)C(=O)O,999.0
N=C(O)Cc1c[nH]c2ccccc12,999.0
O=C(O)C1CCNCC1,999.0
OCCNCCO,999.0
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,999.0
c1c[nH]cn1,999.0
N=C(O)CCC(N)C(=O)O,999.0
CC(O)C(N)C(=O)O,999.0
NC(CO)C(=O)O,999.0
Oc1ncnc2[nH]cnc12,999.0
NC(CCO)C(=O)O,999.0
O=c1c2ccccc2oc2ccccc12,999.0
NC(Cc1c[nH]c2ccccc12)C(=O)O,999.0
CCC(C)C(N)C(=O)O,999.0
COc1ccc2[nH]cc(CCN)c2c1,999.0
c1cnc2[nH]ccc2c1,999.0
CN(C)c1ccc(C=CC=O)cc1,999.0
CC(C)CC(N)C(=O)O,999.0
CC(N)C(=O)O,999.0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,999.0
O=C(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CO,999.0
NC(CS)C(=O)O,999.0
CC(O)C(=O)O,999.0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N=C(C)O)CC2,999.0
N=C(N)NCCCC(N)C(=O)O,999.0
O=C(O)C1CCCN1,999.0
NCCCCC(N)C(=O)O,999.0
N=C(O)CC(N)C(=O)O,999.0
CN1C=C[C](c2ccccc2)c2ccccc21,999.0
CN1CC(O)=NC1=N,999.0
N=c1nc(O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,999.0
NC(CCC(=O)O)C(=O)O,999.0
Nc1ccc(C(=O)NCC(=O)O)cc1,999.0
NC(CC(=O)O)C(=O)O,999.0
NC(Cc1ccccc1)C(=O)O,999.0
CC(C)C(N)C(=O)O,999.0
NC(Cc1cnc[nH]1)C(=O)O,999.0
NC(Cc1ccc(O)cc1)C(=O)O,999.0
NC(CCC(=O)O)C(=O)O,999.0
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,999.0
Nc1ccccc1C(=O)CC(N)C(=O)O,999.0
CN(C)Cc1ccccc1,999.0
O=C(O)c1cc(O)c2cccc(O)c2n1,999.0
C(=NC1CCCCC1)=NC1CCCCC1,999.0
C1COCCN1,999.0
CC(N)(CO)CO,999.0
O=C(O)c1ccc2ccccc2n1,999.0
CSCCC(N)C(=O)O,999.0
O=C(O)c1cccnc1,999.0
Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,999.0
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,999.0
NC(Cc1ccc(O)c(O)c1)C(=O)O,999.0
N=c1nc(O)c2nc[nH]c2[nH]1,999.0
O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,999.0
N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,999.0
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,999.0
N=c1ccnc(O)[nH]1,999.0
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,999.0
Oc1nc(O)c2nc[nH]c2n1,999.0
N=C(N)NCC(=O)O,999.0
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,999.0
NCCCCC(=O)O,999.0
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,999.0
NCCc1c[nH]c2ccccc12,999.0
COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,999.0
CC(OP(=O)(O)O)C(N)C(=O)O,999.0
NC(CCS)C(=O)O,999.0
CSCCC(N)C(=O)O,999.0
NC(CS)C(=O)O,999.0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,999.0
NCCCC(=O)O,999.0
Nc1nc[nH]c2ncnc1-2,999.0
c1ccc(CNCc2ccccc2)cc1,999.0
O=C(O)CC1OCC=C2CN3CCC45C6=CC(=O)C(=O)C([N+](=O)[O-])=C6NC4C1C2CC35,999.0
Cn1c(=O)c2nc[nH]c2n(C)c1=O,999.0
NC(CCCC(N)C(=O)O)C(=O)O,999.0
NCCS(=O)(=O)O,999.0
CCCC(N)C(=O)O,999.0
NC(CCCC(=O)O)C(=O)O,999.0
CCC(C)C(N)C(=O)O,999.0
COc1ccc2[nH]cc(CC(N)C(=O)O)c2c1,999.0
CC(C)(C)C(N)C(=O)O,999.0
O=C(O)C1CC(O)CN1,999.0
CCC(N)C(=O)O,999.0
NCCC(N)C(=O)O,999.0
CCCCC(N)C(=O)O,999.0
CCCC(N)C(=O)O,999.0
CC(C)=CCNc1nc[nH]c2ncnc1-2,999.0
NCCCC(N)C(=O)O,999.0
NCC(O)=NCC(=O)O,999.0
Cc1cnc(O)nc1O,999.0
Nc1ccc(C(=O)O)cc1,999.0
NCCO,999.0
NCc1ccccc1,999.0
O=P(O)(O)OCC(O)CO,999.0
CC(O)=NC1C(O)OC(CO)C(O)C1O,999.0
O=C(O)CNCC(=O)O,999.0
NC(Cc1ccccc1)C(=O)O,999.0
Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1O,999.0
CC(=N)O,999.0
Cc1cn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)nc1O,999.0
NCCc1ccc(O)cc1,999.0
N=c1nc(O)c2ncn(C3CC(O)C(CO)O3)c2[nH]1,999.0
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,999.0
N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,999.0
N=c1ccn(C2CC(O)C(CO)O2)c(O)n1,999.0
N=c1ccn(C2OC(CO)C(O)C2O)c(O)n1,999.0
Nc1ncnc2c1ncn2C1CC(O)C(CO)O1,999.0
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,999.0
O=C(O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,999.0
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,999.0
CC(O)=NC1C(O)OC(CO)C(O)C1O,999.0
Cc1nnc(-c2ccccc2)c(O)n1,999.0
N#Cc1cc(Br)c(O)c(Br)c1,999.0
CC(C)c1ccc(N)cc1,999.0
Cc1nnc(-c2ccccc2)c(=O)n1N,999.0
CCc1cccc(C)c1N1C(=O)COCC1C,999.0
CCN(CC)C(=O)SCc1ccccc1Cl,999.0
CCCN(CCC)C(=O)SCc1ccccc1,999.0
N#Cc1c(Cl)cccc1Cl,999.0
N=C(O)c1c(Cl)cccc1Cl,999.0
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,999.0
N#Cc1cc(I)c(O)c(I)c1,999.0
Nc1cnn(-c2ccccc2)c(=O)c1Cl,999.0
COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,999.0
CSc1nnc(C(C)(C)C)c(=O)n1N,999.0
CC(C)(C)c1nnc(O)n(N)c1=O,999.0
COC(O)=Nc1cccc(OC(O)=Nc2cccc(C)c2)c1,999.0
Fc1ccc(C2(Cn3cncn3)OC2c2ccccc2Cl)cc1,999.0
CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,999.0
C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1,999.0
CCc1cccc(CC)c1N(COC)C(=O)CS(=O)(=O)O,999.0
CCc1cccc(CC)c1N(COC)C(=O)C(=O)O,999.0
CCOCN(C(=O)C(=O)O)c1c(C)cccc1CC,999.0
CCOCN(C(=O)CS(=O)(=O)O)c1c(C)cccc1CC,999.0
CCOCN(C(=O)CCl)c1c(C)cccc1CC,999.0
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,999.0
CCN=C(O)N=C(O)C(C#N)=NOC,999.0
O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,999.0
CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,999.0
CC1(C)C(=O)Oc2ccc(OS(C)(=O)=O)cc21,999.0
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,999.0
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,999.0
CC(C)=NOCCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,999.0
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],999.0
COC(=O)c1sccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1,999.0
COc1nc(C)nc(=N)[nH]1,999.0
COC(=O)c1ccccc1S(N)(=O)=O,999.0
COC(=O)c1ccccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1,999.0
COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1,999.0
CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(O)=Nc1nc(OC)cc(OC)n1,999.0
COc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1,999.0
CSc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1,999.0
Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,999.0
COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,999.0
CCN=C(O)C(C)OC(O)=Nc1ccccc1,999.0
N=c1[nH]c2ccccc2[nH]1,999.0
CC1(C)CON(Cc2ccccc2Cl)C1=O,999.0
CCOC(O)=Nc1cccc(OC(O)=Nc2ccccc2)c1,999.0
CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1,999.0
CC(Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)C(=O)O,999.0
Cc1cc(C2CC2)nc(Nc2ccccc2)n1,999.0
O=C1CC(C(=O)O)CC(=O)C1=C(O)C1CC1,999.0
CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,999.0
CON=C(C(=O)OC)c1ccccc1COc1ccccc1C,999.0
COC(O)=NS(=O)(=O)c1ccc(N)cc1,999.0
CCN=c1nc(OC)[nH]c(=NC(C)C)[nH]1,999.0
CON(C)C(O)=Nc1ccc(Cl)c(Cl)c1,999.0
CN(C)C(=O)Nc1ccc(Cl)cc1,999.0
N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,999.0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,999.0
c1ccc2[nH]nnc2c1,999.0
Cc1ccc2nn[nH]c2c1,999.0
CC(C)NCC(O)COc1ccc(CC(=N)O)cc1,999.0
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,999.0
CC(C)NCC(O)COc1cccc2ccccc12,999.0
COCCc1ccc(OCC(O)CNC(C)C)cc1,999.0
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,999.0
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,999.0
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,999.0
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,999.0
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC,999.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,999.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,999.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,999.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,999.0
N=C(O)N1c2ccccc2C=Cc2ccccc21,999.0
CCC1(c2ccccc2)C(O)=NCN=C1O,999.0
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,999.0
Cc1ncc([N+](=O)[O-])n1CCO,999.0
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,999.0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,999.0
COc1ccc2cc(C(C)C(=O)O)ccc2c1,999.0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,999.0
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,999.0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,999.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,999.0
Cc1cccc(Nc2ccccc2C(=O)O)c1C,999.0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,999.0
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,999.0
CCN(CC)C(=O)c1cccc(C)c1,999.0
COc1ccc(C(=O)c2ccccc2)c(O)c1,999.0
CC(=O)N(CC(O)CO)c1c(I)c(C(O)=NCC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I,999.0
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,999.0
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,999.0
CC(O)=Nc1c(C)n(C)n(-c2ccccc2)c1=O,999.0
CC(O)=Nc1c(I)c(N=C(C)O)c(I)c(C(=O)O)c1I,999.0
CN(C(=O)CO)c1c(I)c(C(O)=NCC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I,999.0
CC(O)C(O)=Nc1c(I)c(C(O)=NC(CO)CO)c(I)c(C(O)=NC(CO)CO)c1I,999.0
COCC(O)=Nc1c(I)c(C(=O)N(C)CC(O)CO)c(I)c(C(O)=NCC(O)CO)c1I,999.0
CC(O)=Nc1ccc(O)cc1,999.0
COc1cc(OC)nc(NS(=O)(=O)c2ccc(N=C(C)O)cc2)n1,999.0
CC(O)=Nc1ccc(S(=O)(=O)Nc2nc(C)cc(C)n2)cc1,999.0
CC(O)=Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,999.0
CC(O)=Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,999.0
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,999.0
COCC(C)N(C(=O)CCl)c1c(C)csc1C,999.0
CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C,999.0
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,999.0
CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,999.0
COCC(C)N(C(=O)C(=O)O)c1c(C)csc1C,999.0
COCC(C)N(C(=O)CS(=O)(=O)O)c1c(C)csc1C,999.0
Cc1cc(Cl)ccc1OCC(=O)O,999.0
CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,999.0
CCc1cccc(C)c1N(C(=O)C(=O)O)C(C)COC,999.0
CCC(C)n1c(O)nc(C)c(Br)c1=O,999.0
O=C(O)COc1ccc(Cl)cc1Cl,999.0
CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,999.0
Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl,999.0
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,999.0
Cc1ccc(N=C(O)N(C)C)cc1Cl,999.0
CCc1cccc(CC)c1N(COC)C(=O)CCl,999.0
COc1c(Cl)ccc(Cl)c1C(=O)O,999.0
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,999.0
CC(C)N=c1[nH]c(O)nc(=N)[nH]1,999.0
CCN=c1nc(O)[nH]c(=NC(C)C)[nH]1,999.0
Cn1sc(Cl)cc1=O,999.0
CSc1nc(=N)nc(NC(C)(C)C)[nH]1,999.0
CCN=c1nc(Cl)nc(NC(C)(C)C)[nH]1,999.0
CC(C)c1ccc(NC(=N)O)cc1,999.0
CC(C)c1ccc(NC(=O)N(C)C)cc1,999.0
CCN=c1[nH]c(Cl)nc(=N)[nH]1,999.0
CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,999.0
N=C(O)Nc1ccc(Cl)c(Cl)c1,999.0
CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1,999.0
CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1,999.0
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,999.0
CN=C(O)Nc1ccc(Cl)c(Cl)c1,999.0
CN(C)S(=O)(=O)Nc1ccccc1,999.0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,999.0
CC(O)=Nc1ccc(S(=O)(=O)Nc2cc(C)on2)cc1,999.0
CCCCCCCCn1sccc1=O,999.0
Oc1nsc2ccccc12,999.0
CSc1nc(=NC2CC2)nc(NC(C)(C)C)[nH]1,999.0
Cn1c(=O)c2c(ncn2C)n(C)c1=O,999.0
CN=C(O)Nc1ccc(C(C)C)cc1,999.0
CCCCN=C(O)OCC#CI,999.0
CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1,999.0
Cc1cc(Cl)ccc1OC(C)C(=O)O,999.0
CC(C)N=c1[nH]c(Cl)nc(=N)[nH]1,999.0
OCc1cccc(Oc2ccccc2)c1,999.0
O=C(O)c1cccc(Oc2ccccc2)c1,999.0
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,999.0
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,999.0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,999.0
CN=CNc1ccc(C)cc1C,999.0
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,999.0
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,999.0
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,999.0
Cc1cc(=O)n(-c2ccccc2)n1C,999.0
Cc1ccc(NS(=O)(=O)N(C)C)cc1,999.0
CN(C)S(N)(=O)=O,999.0
CC(O)=Nc1c(I)c(C(=O)O)c(I)c(C(O)=NCCO)c1I,999.0
c1ccc2scnc2c1,999.0
CCCCCCCCn1sc(Cl)c(Cl)c1=O,999.0
CCN=c1nc(NC(C)(C)C)[nH]c(OC)n1,999.0
CCN=c1nc(O)[nH]c(NC(C)(C)C)n1,999.0
CCc1cccc(C)c1N(C(=O)CS(=O)(=O)O)C(C)COC,999.0
COCCOCCOC,999.0
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,999.0
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,999.0
Nc1ccc(S(=O)(=O)O)cc1,999.0
O=S(=O)(O)c1ccc2ccccc2c1,999.0
O=S(=O)(O)c1ccc2ccc(S(=O)(=O)O)cc2c1,999.0
CCCC1CC(C(O)=NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,999.0
CCOC(=O)C1=CC(OC(CC)CC)C(N=C(C)O)C(N)C1,999.0
CCC(CC)OC1C=C(C(=O)O)CC(N)C1N=C(C)O,999.0
CC1COC(=O)c2cc3c(cc21)C(C)(C)C(C)C3(C)C,999.0
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,999.0
CC(C)N(C(=O)CS(=O)(=O)O)c1ccc(F)cc1,999.0
CC(C)N(C(=O)C(=O)O)c1ccc(F)cc1,999.0
CC(C)N(C(=O)CS(=O)(=O)O)c1ccccc1,999.0
CC(C)N(C(=O)C(=O)O)c1ccccc1,999.0
CCN=c1nc(OC)[nH]c(=NCC)[nH]1,999.0
CCN=c1nc(O)[nH]c(=NCC)[nH]1,999.0
CCN=c1nc(OC)[nH]c(=NC(C)CC)[nH]1,999.0
CCN=c1nc(Cl)[nH]c(=NC(C)CC)[nH]1,999.0
CC(C)(C)Nc1nc(Cl)nc(=N)[nH]1,999.0
CC(C)(C)Nc1nc(=N)nc(O)[nH]1,999.0
Oc1ccc(C(F)(F)F)cc1,999.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,999.0
CC(C)NCC(O)COc1ccc(CC(=O)O)cc1,999.0
Nc1cnnc(O)c1Cl,999.0
Cn1ncc(N)c(Cl)c1=O,999.0
CCOCCN(C(=O)CCl)C(=C(C)C)c1ccccc1,999.0
O=C(O)C(c1ccccc1)C1CCCCN1,999.0
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,999.0
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,999.0
CCc1cc(C)cc(CC)c1-c1c(OC(=O)C(C)(C)C)n2n(c1=O)CCOCC2,999.0
Cc1cccc(C)c1N(Cn1cccn1)C(=O)CS(=O)(=O)O,999.0
Cc1cccc(C)c1N(Cn1cccn1)C(=O)C(=O)O,999.0
COCCN(C(=O)CCl)c1c(C)cccc1C,999.0
CC(C)N(C(=O)CCl)c1ccccc1,999.0
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,999.0
O=C(O)c1cc(Br)c(O)c(Br)c1,999.0
Cc1c(N)c(=O)n(-c2ccccc2)n1C,999.0
N=C(O)N1c2ccccc2C2OC2c2ccccc21,999.0
C1=Cc2ccccc2Nc2ccccc21,999.0
CNCC(c1ccc(OC)cc1)C1(O)CCCCC1,999.0
Cc1c(N=CO)c(=O)n(-c2ccccc2)n1C,999.0
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,999.0
COCCN(C(=O)CS(=O)(=O)O)c1c(C)cccc1C,999.0
COCCN(C(=O)C(=O)O)c1c(C)cccc1C,999.0
CN(C)C(=N)NC(=N)N,999.0
CC1(C)CC1C(O)=NC(=CCCCCSCC(N)C(=O)O)C(=O)O,999.0
NCC1(CC(=O)O)CCCCC1,999.0
CCC(C(=N)O)N1CCCC1=O,999.0
Oc1ncc(F)c(O)n1,999.0
COc1cccc(C2(O)CCCCC2CN(C)C)c1,999.0
CCN(CC)CC(O)=Nc1c(C)cccc1C,999.0
O=P1(N(CCCl)CCCl)NCCCO1,999.0
CC(C)c1nc(CN(C)C(O)=NC(C(O)=NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)N=C(O)OCc2cncs2)C(C)C)cs1,999.0
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,999.0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,999.0
N=c1ccn(C2OC(CO)C(O)C2(F)F)c(O)n1,999.0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,999.0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,999.0
CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,999.0
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,999.0
CNCCCC(C#N)(c1ccc(OC)c(OC)c1)C(C)C,999.0
